"yrplotid","MEASYEAR","STATECD","COUNTYCD","PLOT","LICH_SPPCD","ABUNDANCE_CLASS","taxon_change","LON","LAT","Binomial"
"1999_42_87_5530",1999,42,87,5530,4806,4,NA,-77.445262,40.748892,"Parmelia sulcata"
"1999_42_87_5530",1999,42,87,5530,5614,3,NA,-77.445262,40.748892,"Phaeophyscia rubropulchra"
"1999_42_87_5530",1999,42,87,5530,6713,4,"REF_FIA",-77.445262,40.748892,"Punctelia caseana"
"1999_42_97_5515",1999,42,97,5515,2601,2,NA,-76.759256,40.817885,"Flavoparmelia caperata"
"1999_42_97_5515",1999,42,97,5515,5716,2,NA,-76.759256,40.817885,"Physcia millegrana"
"1999_42_97_5515",1999,42,97,5515,6705,3,NA,-76.759256,40.817885,"Punctelia missouriensis"
"1999_42_97_5515",1999,42,97,5515,6713,2,"REF_FIA",-76.759256,40.817885,"Punctelia caseana"
"1999_42_103_6211",1999,42,103,6211,1012,2,NA,-75.125128,41.341193,"Usnocetraria oakesiana"
"1999_42_103_6211",1999,42,103,6211,1211,2,NA,-75.125128,41.341193,"Cladonia coniocraea"
"1999_42_103_6211",1999,42,103,6211,2601,3,NA,-75.125128,41.341193,"Flavoparmelia caperata"
"1999_42_103_6211",1999,42,103,6211,5716,1,NA,-75.125128,41.341193,"Physcia millegrana"
"1999_42_103_6211",1999,42,103,6211,6708,2,NA,-75.125128,41.341193,"Punctelia rudecta"
"1999_42_105_6259",1999,42,105,6259,1211,1,NA,-77.864081,41.941828,"Cladonia coniocraea"
"1999_42_105_6259",1999,42,105,6259,2403,1,NA,-77.864081,41.941828,"Evernia mesomorpha"
"1999_42_105_6259",1999,42,105,6259,2601,1,NA,-77.864081,41.941828,"Flavoparmelia caperata"
"1999_42_105_6259",1999,42,105,6259,4015,2,NA,-77.864081,41.941828,"Melanelixia subaurifera"
"1999_42_105_6259",1999,42,105,6259,4201,3,NA,-77.864081,41.941828,"Myelochroa aurulenta"
"1999_42_105_6259",1999,42,105,6259,5614,3,NA,-77.864081,41.941828,"Phaeophyscia rubropulchra"
"1999_42_105_6259",1999,42,105,6259,5716,3,NA,-77.864081,41.941828,"Physcia millegrana"
"1999_42_107_5513",1999,42,107,5513,1012,2,NA,-76.116558,40.856498,"Usnocetraria oakesiana"
"1999_42_107_5513",1999,42,107,5513,1211,2,NA,-76.116558,40.856498,"Cladonia coniocraea"
"1999_42_107_5513",1999,42,107,5513,2601,3,NA,-76.116558,40.856498,"Flavoparmelia caperata"
"1999_42_107_5513",1999,42,107,5513,5716,1,NA,-76.116558,40.856498,"Physcia millegrana"
"1999_42_107_5513",1999,42,107,5513,6713,4,"REF_FIA",-76.116558,40.856498,"Punctelia caseana"
"1999_42_107_5511",1999,42,107,5511,2601,2,NA,-76.21895,40.61765,"Flavoparmelia caperata"
"1999_42_107_5511",1999,42,107,5511,5716,2,NA,-76.21895,40.61765,"Physcia millegrana"
"1999_42_107_5511",1999,42,107,5511,6713,2,"REF_FIA",-76.21895,40.61765,"Punctelia caseana"
"1999_42_111_4845",1999,42,111,4845,1012,1,NA,-79.208147,39.724369,"Usnocetraria oakesiana"
"1999_42_111_4845",1999,42,111,4845,3116,2,NA,-79.208147,39.724369,"Hypogymnia physodes"
"1999_42_111_4845",1999,42,111,4845,4806,2,NA,-79.208147,39.724369,"Parmelia sulcata"
"1999_42_113_6232",1999,42,113,6232,2403,3,NA,-76.32124,41.50841,"Evernia mesomorpha"
"1999_42_113_6232",1999,42,113,6232,3116,3,NA,-76.32124,41.50841,"Hypogymnia physodes"
"1999_42_113_6232",1999,42,113,6232,6713,3,"REF_FIA",-76.32124,41.50841,"Punctelia caseana"
"1999_42_115_6217",1999,42,115,6217,2601,3,NA,-75.556726,41.738579,"Flavoparmelia caperata"
"1999_42_115_6217",1999,42,115,6217,2704,1,NA,-75.556726,41.738579,"Flavopunctelia soredica"
"1999_42_115_6217",1999,42,115,6217,4806,3,NA,-75.556726,41.738579,"Parmelia sulcata"
"1999_42_115_6217",1999,42,115,6217,5716,3,NA,-75.556726,41.738579,"Physcia millegrana"
"1999_42_115_6217",1999,42,115,6217,6708,3,NA,-75.556726,41.738579,"Punctelia rudecta"
"1999_42_115_6217",1999,42,115,6217,6713,3,"REF_FIA",-75.556726,41.738579,"Punctelia caseana"
"1999_42_117_6252",1999,42,117,6252,1012,3,NA,-77.526293,41.574834,"Usnocetraria oakesiana"
"1999_42_117_6252",1999,42,117,6252,1104,1,NA,-77.526293,41.574834,"Cetrelia olivetorum"
"1999_42_117_6252",1999,42,117,6252,1211,2,NA,-77.526293,41.574834,"Cladonia coniocraea"
"1999_42_117_6252",1999,42,117,6252,2601,3,NA,-77.526293,41.574834,"Flavoparmelia caperata"
"1999_42_117_6252",1999,42,117,6252,3116,2,NA,-77.526293,41.574834,"Hypogymnia physodes"
"1999_42_117_6252",1999,42,117,6252,4015,3,NA,-77.526293,41.574834,"Melanelixia subaurifera"
"1999_42_117_6252",1999,42,117,6252,4806,3,NA,-77.526293,41.574834,"Parmelia sulcata"
"1999_42_117_6252",1999,42,117,6252,5614,2,NA,-77.526293,41.574834,"Phaeophyscia rubropulchra"
"1999_42_117_6252",1999,42,117,6252,6708,3,NA,-77.526293,41.574834,"Punctelia rudecta"
"1999_42_117_6252",1999,42,117,6252,6713,3,"REF_FIA",-77.526293,41.574834,"Punctelia caseana"
"1999_42_117_6256",1999,42,117,6256,1211,3,NA,-77.40225,41.78343,"Cladonia coniocraea"
"1999_42_117_6256",1999,42,117,6256,2601,3,NA,-77.40225,41.78343,"Flavoparmelia caperata"
"1999_42_117_6256",1999,42,117,6256,4201,3,NA,-77.40225,41.78343,"Myelochroa aurulenta"
"1999_42_117_6256",1999,42,117,6256,4806,3,NA,-77.40225,41.78343,"Parmelia sulcata"
"1999_42_117_6256",1999,42,117,6256,5614,3,NA,-77.40225,41.78343,"Phaeophyscia rubropulchra"
"1999_42_117_6256",1999,42,117,6256,6713,3,"REF_FIA",-77.40225,41.78343,"Punctelia caseana"
"1999_42_123_6294",1999,42,123,6294,1012,1,NA,-79.37352,41.63236,"Usnocetraria oakesiana"
"1999_42_123_6294",1999,42,123,6294,1225,2,"REF_FIA",-79.37352,41.63236,"Cladonia macilenta"
"1999_42_123_6294",1999,42,123,6294,1207,1,NA,-79.37352,41.63236,"Cladonia caespiticia"
"1999_42_123_6294",1999,42,123,6294,1210,1,NA,-79.37352,41.63236,"Cladonia chlorophaea"
"1999_42_123_6294",1999,42,123,6294,1211,3,NA,-79.37352,41.63236,"Cladonia coniocraea"
"1999_42_123_6294",1999,42,123,6294,2601,3,NA,-79.37352,41.63236,"Flavoparmelia caperata"
"1999_42_123_6294",1999,42,123,6294,3116,2,NA,-79.37352,41.63236,"Hypogymnia physodes"
"1999_42_123_6294",1999,42,123,6294,3301,1,NA,-79.37352,41.63236,"Imshaugia aleurites"
"1999_42_123_6294",1999,42,123,6294,4015,2,NA,-79.37352,41.63236,"Melanelixia subaurifera"
"1999_42_123_6294",1999,42,123,6294,4806,3,NA,-79.37352,41.63236,"Parmelia sulcata"
"1999_42_123_6294",1999,42,123,6294,5614,3,NA,-79.37352,41.63236,"Phaeophyscia rubropulchra"
"1999_42_123_6294",1999,42,123,6294,5716,2,NA,-79.37352,41.63236,"Physcia millegrana"
"1999_42_125_5568",1999,42,125,5568,1211,3,NA,-80.208536,40.016926,"Cladonia coniocraea"
"1999_42_125_5568",1999,42,125,5568,2601,3,NA,-80.208536,40.016926,"Flavoparmelia caperata"
"1999_42_125_5568",1999,42,125,5568,4806,3,NA,-80.208536,40.016926,"Parmelia sulcata"
"1999_42_125_5568",1999,42,125,5568,5613,1,NA,-80.208536,40.016926,"Phaeophyscia pusilloides"
"1999_42_125_5568",1999,42,125,5568,5614,1,NA,-80.208536,40.016926,"Phaeophyscia rubropulchra"
"1999_42_125_5568",1999,42,125,5568,5716,3,NA,-80.208536,40.016926,"Physcia millegrana"
"1999_42_125_5568",1999,42,125,5568,6713,3,"REF_FIA",-80.208536,40.016926,"Punctelia caseana"
"1999_42_127_6222",1999,42,127,6222,1002,2,NA,-75.36266,41.98633,"Ahtiana aurescens"
"1999_42_127_6222",1999,42,127,6222,1211,2,NA,-75.36266,41.98633,"Cladonia coniocraea"
"1999_42_127_6222",1999,42,127,6222,1242,1,NA,-75.36266,41.98633,"Cladonia peziziformis"
"1999_42_127_6222",1999,42,127,6222,5614,2,NA,-75.36266,41.98633,"Phaeophyscia rubropulchra"
"1999_42_127_6222",1999,42,127,6222,6708,2,NA,-75.36266,41.98633,"Punctelia rudecta"
"2000_42_1_1923",2000,42,1,1923,6708,2,NA,-77.39604,39.82953,"Punctelia rudecta"
"2000_42_1_1923",2000,42,1,1923,6808,2,NA,-77.39604,39.82953,"Pyxine sorediata"
"2000_42_7_1756",2000,42,7,1756,2601,2,NA,-80.2211,40.68332,"Flavoparmelia caperata"
"2000_42_7_1756",2000,42,7,1756,2704,2,NA,-80.2211,40.68332,"Flavopunctelia soredica"
"2000_42_7_1756",2000,42,7,1756,4806,2,NA,-80.2211,40.68332,"Parmelia sulcata"
"2000_42_7_1756",2000,42,7,1756,5716,3,NA,-80.2211,40.68332,"Physcia millegrana"
"2000_42_7_1756",2000,42,7,1756,5723,1,NA,-80.2211,40.68332,"Physcia stellaris"
"2000_42_7_1756",2000,42,7,1756,6700,1,NA,-80.2211,40.68332,"Punctelia"
"2000_42_13_1573",2000,42,13,1573,2601,1,NA,-78.47889,40.45383,"Flavoparmelia caperata"
"2000_42_13_1573",2000,42,13,1573,4806,1,NA,-78.47889,40.45383,"Parmelia sulcata"
"2000_42_13_1573",2000,42,13,1573,6713,2,"REF_FIA",-78.47889,40.45383,"Punctelia caseana"
"2000_42_15_1918",2000,42,15,1918,2601,1,NA,-76.34663,41.89816,"Flavoparmelia caperata"
"2000_42_15_1918",2000,42,15,1918,4806,1,NA,-76.34663,41.89816,"Parmelia sulcata"
"2000_42_27_854",2000,42,27,854,1002,2,NA,-77.56483,40.93963,"Ahtiana aurescens"
"2000_42_27_854",2000,42,27,854,2601,3,NA,-77.56483,40.93963,"Flavoparmelia caperata"
"2000_42_27_854",2000,42,27,854,4806,3,NA,-77.56483,40.93963,"Parmelia sulcata"
"2000_42_27_854",2000,42,27,854,5716,3,NA,-77.56483,40.93963,"Physcia millegrana"
"2000_42_27_854",2000,42,27,854,6708,3,NA,-77.56483,40.93963,"Punctelia rudecta"
"2000_42_31_1935",2000,42,31,1935,1211,1,NA,-79.24591,41.22012,"Cladonia coniocraea"
"2000_42_31_1935",2000,42,31,1935,2601,3,NA,-79.24591,41.22012,"Flavoparmelia caperata"
"2000_42_31_1935",2000,42,31,1935,4015,1,NA,-79.24591,41.22012,"Melanelixia subaurifera"
"2000_42_31_1935",2000,42,31,1935,4806,3,NA,-79.24591,41.22012,"Parmelia sulcata"
"2000_42_31_1935",2000,42,31,1935,5716,2,NA,-79.24591,41.22012,"Physcia millegrana"
"2000_42_31_1935",2000,42,31,1935,6708,1,NA,-79.24591,41.22012,"Punctelia rudecta"
"2000_42_31_1935",2000,42,31,1935,6713,2,"REF_FIA",-79.24591,41.22012,"Punctelia caseana"
"2000_42_35_1651",2000,42,35,1651,1002,3,NA,-77.98376,41.33881,"Ahtiana aurescens"
"2000_42_35_1651",2000,42,35,1651,1211,2,NA,-77.98376,41.33881,"Cladonia coniocraea"
"2000_42_35_1651",2000,42,35,1651,2601,3,NA,-77.98376,41.33881,"Flavoparmelia caperata"
"2000_42_35_1651",2000,42,35,1651,4806,3,NA,-77.98376,41.33881,"Parmelia sulcata"
"2000_42_35_1651",2000,42,35,1651,6713,3,"REF_FIA",-77.98376,41.33881,"Punctelia caseana"
"2000_42_37_689",2000,42,37,689,2601,2,NA,-76.24565,41.08244,"Flavoparmelia caperata"
"2000_42_37_689",2000,42,37,689,4806,3,NA,-76.24565,41.08244,"Parmelia sulcata"
"2000_42_37_689",2000,42,37,689,6713,3,"REF_FIA",-76.24565,41.08244,"Punctelia caseana"
"2000_42_39_435",2000,42,39,435,2601,3,NA,-80.32659,41.55406,"Flavoparmelia caperata"
"2000_42_39_435",2000,42,39,435,4806,3,NA,-80.32659,41.55406,"Parmelia sulcata"
"2000_42_39_435",2000,42,39,435,5716,4,NA,-80.32659,41.55406,"Physcia millegrana"
"2000_42_47_384",2000,42,47,384,1211,3,NA,-78.64249,41.2789,"Cladonia coniocraea"
"2000_42_47_384",2000,42,47,384,2601,1,NA,-78.64249,41.2789,"Flavoparmelia caperata"
"2000_42_47_384",2000,42,47,384,4805,2,NA,-78.64249,41.2789,"Parmelia squarrosa"
"2000_42_47_384",2000,42,47,384,4806,3,NA,-78.64249,41.2789,"Parmelia sulcata"
"2000_42_47_384",2000,42,47,384,5716,2,NA,-78.64249,41.2789,"Physcia millegrana"
"2000_42_47_384",2000,42,47,384,6713,2,"REF_FIA",-78.64249,41.2789,"Punctelia caseana"
"2000_42_49_443",2000,42,49,443,5613,1,NA,-80.11028,41.98924,"Phaeophyscia pusilloides"
"2000_42_49_443",2000,42,49,443,5614,2,NA,-80.11028,41.98924,"Phaeophyscia rubropulchra"
"2000_42_49_443",2000,42,49,443,5716,3,NA,-80.11028,41.98924,"Physcia millegrana"
"2000_42_49_443",2000,42,49,443,5723,3,NA,-80.11028,41.98924,"Physcia stellaris"
"2000_42_49_927",2000,42,49,927,3116,3,NA,-79.79367,42.16271,"Hypogymnia physodes"
"2000_42_49_927",2000,42,49,927,4806,3,NA,-79.79367,42.16271,"Parmelia sulcata"
"2000_42_57_1244",2000,42,57,1244,2601,1,NA,-78.10482,40.07775,"Flavoparmelia caperata"
"2000_42_57_1244",2000,42,57,1244,2704,2,NA,-78.10482,40.07775,"Flavopunctelia soredica"
"2000_42_57_1244",2000,42,57,1244,4806,3,NA,-78.10482,40.07775,"Parmelia sulcata"
"2000_42_57_1244",2000,42,57,1244,5613,3,NA,-78.10482,40.07775,"Phaeophyscia pusilloides"
"2000_42_57_1244",2000,42,57,1244,5614,2,NA,-78.10482,40.07775,"Phaeophyscia rubropulchra"
"2000_42_57_1244",2000,42,57,1244,5716,2,NA,-78.10482,40.07775,"Physcia millegrana"
"2000_42_57_1244",2000,42,57,1244,5723,1,NA,-78.10482,40.07775,"Physcia stellaris"
"2000_42_57_1244",2000,42,57,1244,6713,3,"REF_FIA",-78.10482,40.07775,"Punctelia caseana"
"2000_42_59_1341",2000,42,59,1341,1211,4,NA,-79.9503,39.8598,"Cladonia coniocraea"
"2000_42_59_1341",2000,42,59,1341,1264,3,NA,-79.9503,39.8598,"Cladonia decorticata"
"2000_42_59_1341",2000,42,59,1341,2601,3,NA,-79.9503,39.8598,"Flavoparmelia caperata"
"2000_42_59_1341",2000,42,59,1341,5716,2,NA,-79.9503,39.8598,"Physcia millegrana"
"2000_42_59_1341",2000,42,59,1341,6713,2,"REF_FIA",-79.9503,39.8598,"Punctelia caseana"
"2000_42_61_945",2000,42,61,945,2601,3,NA,-78.09453,40.44808,"Flavoparmelia caperata"
"2000_42_61_945",2000,42,61,945,4201,3,NA,-78.09453,40.44808,"Myelochroa aurulenta"
"2000_42_61_945",2000,42,61,945,4806,2,NA,-78.09453,40.44808,"Parmelia sulcata"
"2000_42_61_945",2000,42,61,945,5614,1,NA,-78.09453,40.44808,"Phaeophyscia rubropulchra"
"2000_42_61_945",2000,42,61,945,5716,3,NA,-78.09453,40.44808,"Physcia millegrana"
"2000_42_61_945",2000,42,61,945,6713,3,"REF_FIA",-78.09453,40.44808,"Punctelia caseana"
"2000_42_61_945",2000,42,61,945,6808,3,NA,-78.09453,40.44808,"Pyxine sorediata"
"2000_42_63_736",2000,42,63,736,2601,2,NA,-79.12249,40.38274,"Flavoparmelia caperata"
"2000_42_63_736",2000,42,63,736,4806,1,NA,-79.12249,40.38274,"Parmelia sulcata"
"2000_42_63_736",2000,42,63,736,5300,1,NA,-79.12249,40.38274,"Parmotrema"
"2000_42_63_736",2000,42,63,736,5614,1,NA,-79.12249,40.38274,"Phaeophyscia rubropulchra"
"2000_42_63_736",2000,42,63,736,5716,3,NA,-79.12249,40.38274,"Physcia millegrana"
"2000_42_63_736",2000,42,63,736,6713,3,"REF_FIA",-79.12249,40.38274,"Punctelia caseana"
"2000_42_81_345",2000,42,81,345,2601,3,NA,-77.32979,41.41098,"Flavoparmelia caperata"
"2000_42_81_345",2000,42,81,345,4201,2,NA,-77.32979,41.41098,"Myelochroa aurulenta"
"2000_42_81_345",2000,42,81,345,5723,3,NA,-77.32979,41.41098,"Physcia stellaris"
"2000_42_81_345",2000,42,81,345,6705,3,NA,-77.32979,41.41098,"Punctelia missouriensis"
"2000_42_81_766",2000,42,81,766,4015,2,NA,-76.62466,41.16104,"Melanelixia subaurifera"
"2000_42_81_766",2000,42,81,766,4806,2,NA,-76.62466,41.16104,"Parmelia sulcata"
"2000_42_83_1742",2000,42,83,1742,2601,2,NA,-78.36157,41.74188,"Flavoparmelia caperata"
"2000_42_83_1680",2000,42,83,1680,1211,1,NA,-78.72012,41.83673,"Cladonia coniocraea"
"2000_42_83_1742",2000,42,83,1742,1225,3,"REF_FIA",-78.36157,41.74188,"Cladonia macilenta"
"2000_42_83_1742",2000,42,83,1742,1211,3,NA,-78.36157,41.74188,"Cladonia coniocraea"
"2000_42_83_1742",2000,42,83,1742,5716,1,NA,-78.36157,41.74188,"Physcia millegrana"
"2000_42_87_1488",2000,42,87,1488,2601,3,NA,-77.53236,40.66582,"Flavoparmelia caperata"
"2000_42_87_1488",2000,42,87,1488,5716,2,NA,-77.53236,40.66582,"Physcia millegrana"
"2000_42_87_1488",2000,42,87,1488,6708,3,NA,-77.53236,40.66582,"Punctelia rudecta"
"2000_42_99_627",2000,42,99,627,2601,2,NA,-77.16405,40.57072,"Flavoparmelia caperata"
"2000_42_99_627",2000,42,99,627,6713,2,"REF_FIA",-77.16405,40.57072,"Punctelia caseana"
"2000_42_105_472",2000,42,105,472,2403,1,NA,-77.63984,41.51313,"Evernia mesomorpha"
"2000_42_105_472",2000,42,105,472,2601,1,NA,-77.63984,41.51313,"Flavoparmelia caperata"
"2000_42_105_472",2000,42,105,472,4102,2,"REF_FIA",-77.63984,41.51313,"Menegazzia subsimilis"
"2000_42_105_472",2000,42,105,472,4806,4,NA,-77.63984,41.51313,"Parmelia sulcata"
"2000_42_105_472",2000,42,105,472,5613,1,NA,-77.63984,41.51313,"Phaeophyscia pusilloides"
"2000_42_105_472",2000,42,105,472,5614,3,NA,-77.63984,41.51313,"Phaeophyscia rubropulchra"
"2000_42_105_472",2000,42,105,472,5716,1,NA,-77.63984,41.51313,"Physcia millegrana"
"2000_42_105_472",2000,42,105,472,5723,1,NA,-77.63984,41.51313,"Physcia stellaris"
"2000_42_105_472",2000,42,105,472,6713,2,"REF_FIA",-77.63984,41.51313,"Punctelia caseana"
"2000_42_105_549",2000,42,105,549,2601,3,NA,-78.00457,41.83199,"Flavoparmelia caperata"
"2000_42_105_549",2000,42,105,549,3116,3,NA,-78.00457,41.83199,"Hypogymnia physodes"
"2000_42_105_549",2000,42,105,549,4201,3,NA,-78.00457,41.83199,"Myelochroa aurulenta"
"2000_42_105_549",2000,42,105,549,4806,3,NA,-78.00457,41.83199,"Parmelia sulcata"
"2000_42_105_549",2000,42,105,549,6708,1,NA,-78.00457,41.83199,"Punctelia rudecta"
"2000_42_113_746",2000,42,113,746,3116,2,NA,-76.65626,41.43823,"Hypogymnia physodes"
"2000_42_113_746",2000,42,113,746,4806,3,NA,-76.65626,41.43823,"Parmelia sulcata"
"2000_42_113_746",2000,42,113,746,6708,3,NA,-76.65626,41.43823,"Punctelia rudecta"
"2000_42_113_746",2000,42,113,746,6713,3,"REF_FIA",-76.65626,41.43823,"Punctelia caseana"
"2000_42_115_289",2000,42,115,289,2601,2,NA,-75.69112,41.65063,"Flavoparmelia caperata"
"2000_42_115_289",2000,42,115,289,5614,1,NA,-75.69112,41.65063,"Phaeophyscia rubropulchra"
