"yrplotid","ppt","vpdmax","tmax","tmean","tot_n","tot_s","LON","LAT","optional"
"2002_42_127_2525",1129.97998046875,8.9399995803833,13.1700000762939,7.48999977111816,103.930489063263,119.279590129852,-75.36266,41.98633,TRUE
"2002_42_83_2213",1202.81994628906,8.09000015258789,12.1700000762939,6.73999977111816,114.102111339569,241.966563224792,-78.68337,41.70452,TRUE
"2002_42_41_2086",1016.94000244141,11.6000003814697,16.6900005340576,11.0799999237061,147.835639953613,185.269153594971,-77.56269,40.16952,TRUE
"2002_42_19_1957",1007.35998535156,10.9200000762939,16.1299991607666,10.4799995422363,126.050751686096,211.678329467773,-80.0093,40.69669,TRUE
"2002_42_65_2746",1109.83996582031,9.60000038146973,13.7700004577637,8.11999988555908,113.261733055115,236.551206588745,-78.93837,41.25637,TRUE
"2000_42_7_1756",969.919982910156,11.2200002670288,16.2199993133545,10.5299997329712,125.869422912598,211.478985786438,-80.2211,40.68332,TRUE
"2000_42_99_627",1092.31994628906,11.1199998855591,15.7399997711182,9.92000007629395,132.632730484009,156.439438819885,-77.16405,40.57072,TRUE
"2000_42_57_1244",1024.68994140625,10.3000001907349,15.1300001144409,9.94999980926514,122.7672996521,165.482484817505,-78.10482,40.07775,TRUE
"2000_42_87_1488",1068.10998535156,11.1599998474121,15.710000038147,9.90999984741211,124.822394371033,173.100516319275,-77.53236,40.66582,TRUE
"2000_42_49_443",1200.52001953125,9.5,14.1099996566772,8.76000022888184,131.307948112488,234.305626869202,-80.11028,41.98924,TRUE
"2000_42_121_1877",1147.90002441406,10.0200004577637,14.3500003814697,8.46000003814697,119.67760181427,236.372584342957,-79.63761,41.32324,TRUE
"2002_42_47_2050",1120.81005859375,9.4399995803833,13.5600004196167,7.61999988555908,115.314961433411,235.009347915649,-78.29979,41.29843,TRUE
"2002_42_47_2061",1157.25,9.56999969482422,13.5500001907349,7.48999977111816,113.536046028137,237.543511390686,-78.64445,41.41663,TRUE
"2002_42_7_2334",976.940002441406,11.039999961853,16.1100006103516,10.5799999237061,129.566113471985,221.573998451233,-80.47152,40.66267,TRUE
"2000_42_81_345",1052.83996582031,11.3100004196167,15.1499996185303,8.69999980926514,113.164524078369,189.036458969116,-77.32979,41.41098,TRUE
"2000_42_81_766",1090.88000488281,9.8100004196167,14.4399995803833,8.75,113.543393135071,159.646577835083,-76.62466,41.16104,TRUE
"2000_42_83_1680",1197.17004394531,8.05000019073486,12.1400003433228,6.78000020980835,116.806994438171,242.280500411987,-78.72012,41.83673,TRUE
"2000_42_123_37",1140.22998046875,9.92000007629395,13.7700004577637,7.57999992370605,113.988594055176,239.956218719482,-79.05187,41.65914,TRUE
"2003_42_35_5449",1117.69995117188,10.8599996566772,14.6499996185303,8.27000045776367,115.627823829651,173.798666000366,-77.284947,41.129177,TRUE
"2000_42_63_736",1163.14001464844,11.4799995422363,16.3199996948242,10.4399995803833,129.083026885986,336.790738105774,-79.12249,40.38274,TRUE
"2002_42_61_2504",1047.56994628906,9.59000015258789,14.1000003814697,8.75,110.011721611023,168.278050422668,-78.14265,40.45806,TRUE
"2000_42_115_745",1052.60998535156,9.73999977111816,13.9700002670288,8.01000022888184,113.835702896118,133.625486373901,-75.72142,41.97548,TRUE
"2003_42_79_5354",1272.22998046875,8.94999980926514,13.9200000762939,8.60999965667725,139.844086647034,174.798487663269,-75.786711,40.996646,TRUE
"2003_42_109_4041",1262.57995605469,10.2600002288818,14.1199998855591,7.92000007629395,137.509608268738,177.516714096069,-77.199108,40.705846,TRUE
"2003_42_85_3650",1067.59997558594,10.1599998474121,14.9300003051758,9.21000003814697,120.864449501038,215.324909210205,-80.259697,41.275344,TRUE
"2001_42_15_1429",956.059997558594,10.3900003433228,14.5699996948242,8.52999973297119,110.428512096405,142.850811958313,-76.52004,41.68525,TRUE
"2000_42_47_384",1162.0400390625,8.78999996185303,12.9499998092651,7.36999988555908,116.557261943817,251.033789634705,-78.64249,41.2789,TRUE
"2000_42_105_549",1070.38000488281,8.27999973297119,12.4099998474121,6.88000011444092,111.793877601624,222.792644500732,-78.00457,41.83199,TRUE
"2001_42_35_1930",1065.80004882812,11.3500003814697,15.4099998474121,9.13000011444092,109.863997936249,166.146989822388,-77.4171,41.17186,TRUE
"2003_42_33_3350",1129.68005371094,10.0299997329712,14.4799995422363,8.73999977111816,121.172301292419,261.576369285583,-78.697546,40.758315,TRUE
"2003_42_35_5585",1041.31005859375,9.75,13.8000001907349,7.92999982833862,108.482086658478,207.817011833191,-77.810669,41.295058,TRUE
"2003_42_103_3045",1307.2099609375,8.31999969482422,12.9399995803833,7.78000020980835,126.429109573364,149.129587173462,-75.303363,41.248086,TRUE
"2003_42_111_3060",1127.69995117188,9.67000007629395,14.0200004577637,7.90999984741211,112.106523036957,277.238547325134,-79.075114,40.078382,TRUE
"2000_42_27_854",1095.05004882812,10.3699998855591,14.7200002670288,9,123.238532066345,200.982671737671,-77.56483,40.93963,TRUE
"2000_42_15_1918",955.080017089844,9.86999988555908,14,8.03999996185303,102.957798480988,122.447703838348,-76.34663,41.89816,TRUE
"2000_42_83_1742",1149.03002929688,9,13.0299997329712,7.15999984741211,110.787664890289,229.563237190247,-78.36157,41.74188,TRUE
"2001_42_33_765",1089.56994628906,10.3999996185303,14.5500001907349,8.5600004196167,119.255126953125,247.363468170166,-78.78031,41.05183,TRUE
"2002_42_59_2524",1096.33996582031,12.1599998474121,16.7999992370605,10.1899995803833,117.640086174011,247.080856323242,-80.46495,39.85953,TRUE
"2002_42_5_2625",1070.31005859375,11.2200002670288,15.6899995803833,9.67000007629395,114.277240276337,208.583243370056,-79.55982,40.90603,TRUE
"2002_42_51_2169",1111.92004394531,11.7600002288818,16.8199996948242,10.789999961853,107.816930770874,230.391183853149,-79.69227,39.88935,TRUE
"2002_42_79_2906",1158.5400390625,10.1899995803833,14.8199996948242,9.01000022888184,138.337082862854,170.597630023956,-75.93652,41.06784,TRUE
"2002_42_35_2330",1051.18994140625,9.72999954223633,13.5500001907349,7.51999998092651,114.475908279419,208.393369674683,-77.65972,41.36803,TRUE
"2002_42_105_2843",1010.78997802734,8.47999954223633,12.6400003433228,6.98999977111816,101.695591926575,170.321768760681,-77.73646,41.93221,TRUE
"2000_42_13_1573",1044.53002929688,9.72000026702881,14.3900003433228,9.07999992370605,141.564618110657,320.208152770996,-78.47889,40.45383,TRUE
"2001_42_129_33",1021.34997558594,11.5699996948242,16.4400005340576,10.5699996948242,120.182367324829,204.78805065155,-79.70783,40.59669,TRUE
"2001_42_55_532",1060.77001953125,11.5,16,10.1599998474121,137.962691307068,166.381152153015,-77.91584,39.98953,TRUE
"2001_42_127_826",1159.27001953125,9.15999984741211,13.1899995803833,7.34000015258789,104.340305805206,112.802105426788,-75.21091,41.77505,TRUE
"2002_42_39_2006",1151.23999023438,9.53999996185303,14.210000038147,8.68000030517578,118.441744804382,237.967672348022,-79.97646,41.52876,TRUE
"2000_42_59_1341",1047.86999511719,12.0200004577637,17.1299991607666,11.0900001525879,100.040661811829,189.68644618988,-79.9503,39.8598,TRUE
"2000_42_31_1935",1160.97998046875,9.85999965667725,14.1700000762939,8.35000038146973,117.832233905792,233.381460189819,-79.24591,41.22012,TRUE
"2001_42_83_438",1105.93994140625,8.60000038146973,12.6499996185303,6.8899998664856,106.666726112366,218.24946308136,-78.2116,41.68793,TRUE
"2003_42_15_4744",981.830017089844,8.53999996185303,13.0200004577637,7.5,104.032599925995,141.220784664154,-76.891687,41.787896,TRUE
"2003_42_83_4727",1046.55004882812,9.89999961853027,13.8000001907349,7.65000009536743,100.572873592377,203.821751594543,-78.367019,41.86466,TRUE
"2001_42_47_1607",1133.47998046875,10,13.8900003433228,7.73000001907349,110.960090637207,227.259790420532,-78.47482,41.49245,TRUE
"2002_42_105_2581",1071.14001464844,8.94999980926514,12.9200000762939,7.01000022888184,109.004826545715,221.200123786926,-78.0758,41.72411,TRUE
"2000_42_129_963",1005.96002197266,11.210000038147,16.2199993133545,10.6700000762939,130.653199195862,212.037569999695,-79.75792,40.31639,TRUE
"2001_42_117_1078",1031.4599609375,9.22000026702881,13.4200000762939,7.59000015258789,109.638151168823,186.85807800293,-77.20034,41.58583,TRUE
"2001_42_27_1874",1049.06994628906,10.3199996948242,14.7600002288818,9.06999969482422,123.097173690796,222.660329818726,-78.05351,40.83377,TRUE
"2001_42_95_1273",1231.47998046875,11.1300001144409,16.2000007629395,10.2799997329712,122.948525428772,135.39473772049,-75.11815,40.91406,TRUE
"2000_42_131_352",1034.13000488281,10.0900001525879,14.5799999237061,8.64999961853027,96.8073167800903,113.722257614136,-76.04695,41.55543,TRUE
"2000_42_133_974",1101.2900390625,12.039999961853,17.5,11.8299999237061,155.511852264404,150.281796455383,-76.38014,39.77032,TRUE
"2001_42_27_1485",1081.23999023438,10.8000001907349,14.9799995422363,8.86999988555908,111.817983627319,219.460740089417,-78.0777,41.11538,TRUE
"2001_42_61_716",1033.43994140625,11.3299999237061,16.2099990844727,10.4899997711182,129.820129394531,174.675704956055,-77.74344,40.25368,TRUE
"2001_42_129_1739",1384.97998046875,8.26000022888184,13.3599996566772,8.6899995803833,139.219408988953,363.345870018005,-79.22762,40.14009,TRUE
"2002_42_69_2188",1137.38000488281,9.31999969482422,13.7200002670288,8.05000019073486,113.772119998932,123.682231426239,-75.67823,41.52211,TRUE
"2001_42_121_524",1150.86999511719,9.85000038146973,14.3000001907349,8.77999973297119,116.922125816345,224.835593223572,-79.78418,41.38625,TRUE
"2001_42_103_1660",1242.78002929688,9.47000026702881,14.3100004196167,8.8100004196167,117.003821372986,111.638418674469,-74.84175,41.35597,TRUE
"2001_42_43_1169",1147.97998046875,11.1800003051758,16.4599990844727,11,159.05096912384,156.840628623962,-76.6666,40.39713,TRUE
"2001_42_57_1174",997.349975585938,12.5200004577637,16.8299999237061,10.539999961853,114.258049964905,141.517787456512,-78.19832,39.85475,TRUE
"2002_42_9_2000",970.429992675781,12.0699996948242,16.4599990844727,10.1800003051758,111.681310653687,164.657396316528,-78.43268,40.00898,TRUE
"2002_42_15_2727",1049.91003417969,7.53999996185303,12.1300001144409,7.21000003814697,123.571378707886,177.29424571991,-76.68594,41.58944,TRUE
"2000_42_49_927",1265.14001464844,8.32999992370605,13.1499996185303,8.19999980926514,136.484218597412,243.827822685242,-79.79367,42.16271,TRUE
"2002_42_111_2122",1127.84997558594,8.96000003814697,13.710000038147,8.06999969482422,111.567224502563,286.938740730286,-79.03592,39.95742,TRUE
"2002_42_113_2711",1138.71997070312,7.69999980926514,12.0799999237061,7.23999977111816,123.04266166687,158.503439903259,-76.32124,41.50841,TRUE
"2001_42_109_1113",1235.28002929688,10.2299995422363,14.0299997329712,7.8600001335144,134.154190063477,156.144253730774,-77.07423,40.74303,TRUE
"2002_42_27_2422",1234.15002441406,10.2399997711182,13.9700002670288,7.80999994277954,140.710429191589,217.568481445312,-77.27127,40.99691,TRUE
"2002_42_123_2717",1144.96997070312,9.27000045776367,13.3599996566772,7.57000017166138,115.534449577332,230.64244556427,-79.37352,41.63236,TRUE
"2002_42_117_2103",928.599975585938,10.4799995422363,14.2299995422363,7.86999988555908,105.920266628265,158.285571098328,-77.40225,41.78343,TRUE
"2001_42_3_244",1007.34997558594,10.8900003433228,16.0100002288818,10.460000038147,126.068488121033,211.851873397827,-80.01108,40.64518,TRUE
"2001_42_105_1455",1075.48999023438,9.53999996185303,13.460000038147,7.40999984741211,113.584872245789,222.016699790955,-77.82061,41.55543,TRUE
"2001_42_29_448",1200.93994140625,11.4499998092651,17.1800003051758,11.5600004196167,170.664911270142,142.600028991699,-75.6301,40.01467,TRUE
"2000_42_39_435",1098.42004394531,9.17000007629395,14.1300001144409,8.77999973297119,118.006897926331,216.395885467529,-80.32659,41.55406,TRUE
"2001_42_99_148",1066.7099609375,11.1800003051758,16.4599990844727,11.0600004196167,135.956500053406,155.732545375824,-77.31817,40.33733,TRUE
"2001_42_13_1619",1204.60998535156,8.67000007629395,13.1499996185303,7.61999988555908,135.041075706482,257.811989784241,-78.3638,40.6645,TRUE
"2001_42_9_529",1118.73999023438,8.96000003814697,13.8299999237061,9.05000019073486,130.682505607605,306.336740493774,-78.63931,40.23931,TRUE
"2001_42_105_1110",1047.15002441406,9.93000030517578,13.7299995422363,7.53999996185303,103.383343219757,201.881044387817,-78.20135,41.95774,TRUE
"2002_42_107_2090",1215.32995605469,10.8699998855591,15.9799995422363,10.1400003433228,150.289300918579,156.795310497284,-76.21895,40.61765,TRUE
"2002_42_115_2300",1063.58996582031,8.73999977111816,13.1300001144409,7.65000009536743,114.643136024475,142.633972167969,-76.05803,41.9099,TRUE
"2002_42_51_2763",1129.67004394531,10.0299997329712,14.8400001525879,8.97000026702881,115.899021148682,307.452842712402,-79.3877,40.06603,TRUE
"2002_42_33_2538",1086.91003417969,10.4200000762939,14.7299995422363,8.88000011444092,110.210300922394,227.531560897827,-78.55348,40.88883,TRUE
"2002_42_129_2903",1106.2099609375,10.9399995803833,15.8500003814697,10.0500001907349,116.270826339722,226.156546592712,-79.43012,40.34116,TRUE
"2002_42_55_1954",1070.96997070312,11.1800003051758,15.8199996948242,10.1199998855591,134.924439430237,167.740870475769,-77.73248,40.07539,TRUE
"2002_42_11_2310",1133.75,10.6700000762939,16.4099998474121,10.9300003051758,164.251571655273,148.438394069672,-75.80825,40.22796,TRUE
"2002_42_27_2236",1025.01000976562,10.9899997711182,15.2600002288818,9.36999988555908,121.180625915527,203.669238090515,-77.875,40.9215,TRUE
"2000_42_115_289",1072.81005859375,10.039999961853,14.6599998474121,8.89000034332275,106.909012317657,119.226162433624,-75.69112,41.65063,TRUE
"2000_42_35_1651",1108.01000976562,8.51000022888184,12.8299999237061,7.59000015258789,112.484375953674,219.725390434265,-77.98376,41.33881,TRUE
"2000_42_37_689",1098.77001953125,10.7299995422363,15.2299995422363,9.3100004196167,112.845980644226,143.441864013672,-76.24565,41.08244,TRUE
"2000_42_113_746",1154.48999023438,8.09000015258789,12.6700000762939,7.6100001335144,125.834949493408,189.073364257812,-76.65626,41.43823,TRUE
"2002_42_69_2128",1361.41003417969,8.09000015258789,12.9099998474121,8.07999992370605,140.262280464172,171.676251411438,-75.64292,41.23891,TRUE
"2001_42_65_417",1156.21997070312,9.89000034332275,14.1999998092651,8.43000030517578,113.965067386627,221.803424835205,-79.09988,41.16612,TRUE
"2001_42_5_246",1109.27001953125,10.8100004196167,15.2299995422363,9.27999973297119,109.80125951767,204.83322429657,-79.42293,40.98614,TRUE
"2001_42_51_1016",1079.69995117188,11.8699998855591,17,10.9899997711182,106.124561309814,211.845498085022,-79.82789,39.80492,TRUE
"2001_42_81_58",1113.06994628906,8.97000026702881,13.2799997329712,7.82999992370605,113.315733909607,173.597719192505,-77.15424,41.34802,TRUE
"2002_42_39_2047",1183.78002929688,8.75,13.2799997329712,7.94999980926514,117.477721214294,230.367719650269,-79.7007,41.74596,TRUE
"2002_42_31_2777",1158.31994628906,10.25,14.5600004196167,8.68000030517578,115.189345359802,211.76473236084,-79.48407,41.16132,TRUE
"2002_42_21_2171",1092.71997070312,9.26000022888184,13.7600002288818,8.31999969482422,134.444144248962,299.628312110901,-78.50531,40.58531,TRUE
"2002_42_125_2160",1034.94995117188,10.9700002670288,15.9899997711182,10.3500003814697,129.916033744812,257.966937065125,-80.42745,40.39269,TRUE
"2002_42_57_2689",974.400024414062,13.1700000762939,17.5100002288818,11.1199998855591,108.26331615448,147.176474571228,-78.36173,39.74082,TRUE
"2003_42_125_6017",1024.60998535156,11.6400003433228,16.5799999237061,10.5600004196167,104.561511993408,193.020645141602,-80.008361,39.996952,TRUE
"2003_42_87_4458",1082.64001464844,10.7299995422363,15.3599996566772,9.90999984741211,126.723368644714,177.757162094116,-77.677819,40.454439,TRUE
"2000_42_61_945",980.140014648438,12.1099996566772,16.3999996185303,10.1300001144409,109.62902545929,167.73077583313,-78.09453,40.44808,TRUE
"2001_42_85_328",1013.52001953125,10.9399995803833,15.710000038147,9.81999969482422,120.67689037323,211.175053596497,-80.42988,41.30833,TRUE
"2001_42_37_1492",1194.48999023438,7.98999977111816,13.4899997711182,8.8100004196167,144.012187957764,193.029065132141,-76.39508,40.82616,TRUE
"2001_42_39_1284",1111.30004882812,8.98999977111816,13.9499998092651,8.75,123.57105922699,222.749318122864,-80.16224,41.48807,TRUE
"2001_42_25_571",1292.5400390625,10.8199996948242,15.6599998474121,9.64000034332275,149.054371833801,169.931955337524,-75.77375,40.87323,TRUE
"2001_42_123_492",1193.80004882812,9.0600004196167,13.539999961853,8.09000015258789,121.811137199402,236.835159301758,-79.57168,41.84829,TRUE
"2001_42_83_1150",1167.59997558594,8.51000022888184,12.5900001525879,6.96000003814697,115.891842842102,241.450850486755,-78.90672,41.86883,TRUE
"2002_42_49_2551",1206.92004394531,8.92000007629395,13.1599998474121,7.6100001335144,127.785586357117,238.456887245178,-79.76296,42.05952,TRUE
